addr1,addr2,areacode,benikia,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,cpyrhtDivCd,goodstay,hanok,mapx,mapy,mlevel,modifiedtime,tel,title,booktour,sigungucode
경상북도 안동시 하회남촌길 69-5,,35,,B02,B0201,B02011600,2465071,32,20161220190700,http://tong.visitkorea.or.kr/cms/resource/00/2626200_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/00/2626200_image3_1.jpg,Type3,,,128.5175868107,36.5376537450,6,20230413082505,054-855-8552,가경재 [한국관광 품질인증/Korea Quality],,11
서울특별시 송파구 송파대로28길 5,(가락동),1,,B02,B0201,B02010100,142785,32,20040426090000,,,,,,127.1166298703,37.4966565128,6,20231227134640,02-400-6641~3,가락관광호텔,,18
전북특별자치도 전주시 완산구 한지길 68,(풍남동3가),37,,B02,B0201,B02011600,2671267,32,20200908224549,,,,,,127.1535667664,35.8173223769,,20240118105019,,가락청,,12
경기도 파주시 소라지로327번길 126-21,(송촌동),31,,B02,B0201,B02011600,2627867,32,20191021220426,,,,,,126.6891949040,37.7547493903,,20201224014445,,가람나무,,27
경상북도 안동시 풍천면 하회종가길 76-6,(풍천면),35,,B02,B0201,B02011600,1865597,32,20131202181422,http://tong.visitkorea.or.kr/cms/resource/48/2993048_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/48/2993048_image3_1.jpg,Type1,,,128.5163479914,36.5390674494,6,20230901161045,010-3849-7542,가람초연재[한국관광 품질인증/Korea Quality],,11
제주특별자치도 서귀포시 법환하로9번길 10,,39,,B02,B0201,B02010700,1896032,32,20140219003733,,,,,,126.5123383804,33.2365870334,6,20240523102643,064-739-4499,가름게스트하우스,,3
강원특별자치도 인제군 인제읍 대목리길 137,,32,,B02,B0201,B02010700,2571998,32,20181201005923,http://tong.visitkorea.or.kr/cms/resource/37/2571137_image2_1.jpeg,http://tong.visitkorea.or.kr/cms/resource/37/2571137_image2_1.jpeg,Type3,,,128.3383767680,38.0731872541,,20240701153542,033-463-1212,가리벨리 관광펜션(가리벨리관광펜션휴양타운),,10
강원특별자치도 정선군 정선읍 청량길 32,,32,,B02,B0201,B02010700,582215,32,20080702182139,http://tong.visitkorea.or.kr/cms/resource/09/582509_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/09/582509_image3_1.jpg,Type3,,,128.5773915547,37.4241170266,6,20240613150915,010-2289-0021,가리왕산이야기 펜션,,11
경기도 구리시 안골로 70,,31,,B02,B0201,B02010900,1781984,32,20130117230401,,,,,,127.1388777598,37.5972257905,6,20231017153127,031-563-0444,가바나모텔,,6
경기도 평택시 평택5로76번길 18-10,,31,,B02,B0201,B02010100,143017,32,20030806090000,http://tong.visitkorea.or.kr/cms/resource/83/1942883_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/83/1942883_image3_1.jpg,Type3,,,127.1128582139,36.9932008224,6,20231025133555,0507-1396-7702,가보호텔,,28
경상남도 하동군 화개로 13,,36,,B02,B0201,B02010900,2950408,32,20230217152211,http://tong.visitkorea.or.kr/cms/resource/67/3009367_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/67/3009367_image3_1.jpg,Type1,,,127.6231054334,35.1897988120,6,20230912142129,010-3889-6663,가비원모텔[한국관광 품질인증/Korea Quality],,18
경기도 양평군 용문면 용문산로 337,,31,,B02,B0201,B02010700,942523,32,20100202215734,http://tong.visitkorea.or.kr/cms/resource/30/1893430_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/30/1893430_image3_1.jpg,Type3,,,127.6019460659,37.5258897391,6,20230906160453,031-771-5180,가시버시펜션,,19
경상북도 성주군 수륜면 가야산식물원길 52,,35,,B02,B0201,B02010100,136485,32,20030612090000,,,,,,128.1426627919,35.8030359683,6,20231010131055,054-931-3500,가야호텔,,10
충청북도 청주시 청원구 오창읍 미래지로 71-54,,33,,B02,B0201,B02011600,2707444,32,20210227005520,http://tong.visitkorea.or.kr/cms/resource/14/3067814_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/14/3067814_image3_1.jpg,Type1,,,127.4055417589,36.7351218825,,20231219093240,043-233-9966,가영당 [한국관광 품질인증/Korea Quality],,10
전북특별자치도 전주시 완산구 한지길 68-13,(풍남동3가),37,,B02,B0201,B02011600,2593271,32,20190325231742,http://tong.visitkorea.or.kr/cms/resource/60/2593460_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/60/2593460_image2_1.JPG,Type3,,,127.1532917977,35.8170640681,,20240118102524,010-6345-5267,가은채 [한국관광 품질인증/Korea Quality],,12
전북특별자치도 전주시 완산구 한지길 100-20,,37,,B02,B0201,B02011600,2593272,32,20240118174300,http://tong.visitkorea.or.kr/cms/resource/66/2593466_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/66/2593466_image2_1.JPG,Type3,,,127.1535195942,35.8155697973,6,20240118174312,010-6345-5267,가은채2 [한국관광 품질인증/Korea Quality],,12
강원특별자치도 평창군 봉평면 흥정계곡길 72,,32,,B02,B0201,B02010700,2376711,32,20160406222558,http://tong.visitkorea.or.kr/cms/resource/93/2376693_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/93/2376693_image2_1.JPG,Type3,,,128.3519002081,37.6272975840,6,20240620132853,010-5213-3200,가을동화펜션,,15
강원특별자치도 평창군 봉평면 흥정계곡4길 212-27,,32,,B02,B0201,B02010700,2708335,32,20210309011514,http://tong.visitkorea.or.kr/cms/resource/06/2707806_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/06/2707806_image3_1.jpg,Type3,,,128.3109751158,37.6609429108,,20231222094220,033-336-3357,가재와곰펜션 [한국관광 품질인증/Korea Quality],,15
경상남도 남해군 삼동면 죽방로 495,,36,,B02,B0201,B02010700,1351349,32,20110805005937,,,,,,127.9675765215,34.8169300517,6,20240612152137,055-867-4892,가족사랑바다체험펜션,,5
경기도 가평군 북면 꽃넘이길 115-82,가둘기정원,,,B02,B0201,B02010700,3102216,32,20240217153116,,,,,,127.5163456797,37.9003946501,6,20240329144218,0507-1331-2961,가평 가둘기정원 키즈풀빌라 가족 스파 온수수영장 펜션,,
경기도 가평군 북면 가화로 2369-19,,31,,B02,B0201,B02010900,1979670,32,20141226184946,http://tong.visitkorea.or.kr/cms/resource/37/1979637_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/37/1979637_image2_1.JPG,Type3,,,127.4766116592,37.9524878464,6,20230824113015,031-581-2256~7,가평 하이랜드,,1
경기도 가평군 가화로 1364-59,,31,,B02,B0201,B02010700,2814152,32,20220318103837,http://tong.visitkorea.or.kr/cms/resource/11/2811411_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/11/2811411_image2_1.jpg,Type3,,,127.5134792182,37.9023138180,6,20230601113138,,가평미라몬티풀빌라펜션[한국관광 품질인증/Korea Quality],,1
경상남도 고성군 고성읍 이당5길 149-21,,36,,B02,B0201,B02010700,2579457,32,20181218194310,,,,,,128.2677822725,34.9758092205,6,20231215172454,010-2779-2212,갈모봉 힐링스테이,,3
강원특별자치도 영월군 영월읍 선돌길 83-9,,32,,B02,B0201,B02010700,1122064,32,20101103220629,http://tong.visitkorea.or.kr/cms/resource/27/1948427_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/27/1948427_image3_1.jpg,Type3,,,128.4347977723,37.1788536889,6,20230919145627,033-373-1139,강가에 하얀집 펜션,,8
강원특별자치도 홍천군 북방면 굴지강변로 281,,32,,B02,B0201,B02010700,940259,32,20100128000815,http://tong.visitkorea.or.kr/cms/resource/68/1849368_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/68/1849368_image3_1.jpg,Type3,,,127.7832358849,37.6915933201,6,20231031133613,033-433-8309,강가의성,,16
강원특별자치도 정선군 북평면 졸드루길 31-57,,32,,B02,B0201,B02010700,2398168,32,20160809225223,http://tong.visitkorea.or.kr/cms/resource/17/2579017_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/17/2579017_image3_1.jpg,Type3,,,128.6366687230,37.4518927338,6,20230702185437,010-3757-1147,강과 소나무[한국관광 품질인증/Korea Quality],,11
경상남도 통영시 동충4길 56,,36,,B02,B0201,B02011100,2575011,32,20181207220915,,,,,,128.4241610409,34.8418797816,6,20231226164257,010-9287-8001,강구안게스트하우스,,17
서울특별시 강남구 테헤란로13길 65,"(역삼동)1, 2층",1,,B02,B0201,B02011100,2574118,32,20181206010516,http://tong.visitkorea.or.kr/cms/resource/28/2573328_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/28/2573328_image2_1.jpg,Type3,,,127.0301236613,37.5034291706,,20191014191736,010-2746-7882,강남스테이힐(Gangnam Stay Hill),,1
