addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,cpyrhtDivCd,mapx,mapy,mlevel,modifiedtime,sigungucode,tel,title,zipcode
충청남도 공주시 감영길 3,(반죽동),34,,A04,A0401,A04010600,2750144,38,2.02109E+13,,,,127.1216722,36.45292979,6,2.02312E+13,1,,가가상점,32546
부산광역시 부산진구  중앙번영로 (6),,6,,A05,A0502,A05020300,2805408,39,2.02201E+13,,,,129.0598281,35.14480743,6,2.02401E+13,7,,가가와,47361
충청남도 공주시 당간지주길 10,(반죽동),34,,A02,A0206,A02061000,2750143,38,2.02109E+13,,,,127.1219611,36.45206878,6,2.02311E+13,1,,가가책방,32549
전라남도 신안군 흑산면 가거도길 38-2,(흑산면),38,0,A01,A0101,A01011300,127480,12,2.00309E+13,,,,125.1125145,34.07401665,6,2.02405E+13,12,,가거도(소흑산도),58866
충청북도 청주시 흥덕구 가경로149번길 24-2,,33,,A04,A0401,A04010200,1433504,38,2.01111E+13,,,,127.435867,36.6278653,6,2.02304E+13,10,,가경 터미널시장,28393
경기도 안산시 상록구 감골로 173,,31,,A05,A0502,A05020100,2901530,39,2.02211E+13,http://tong.visitkorea.or.kr/cms/resource/12/2901512_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/12/2901512_image3_1.jpg,Type3,126.8580034,37.2971167,6,2.02406E+13,15,,가경목장,15583
충청남도 부여군 부여읍 성왕로 286,,34,,A05,A0502,A05020100,1797757,39,2.01302E+13,,,,126.9189338,36.28324568,6,2.02305E+13,6,041-835-5338,가경식당,33148
경상북도 안동시 하회남촌길 69-5,,35,,B02,B0201,B02011600,2465071,32,2.01612E+13,http://tong.visitkorea.or.kr/cms/resource/00/2626200_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/00/2626200_image3_1.jpg,Type3,128.5175868,36.53765375,6,2.02304E+13,11,054-855-8552,가경재 [한국관광 품질인증/Korea Quality],36760
전라남도 진도군 고군면 신비의바닷길 47,(고군면),38,0,A01,A0101,A01011200,126273,12,2.00311E+13,http://tong.visitkorea.or.kr/cms/resource/36/3079736_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/36/3079736_image3_1.jpg,Type3,126.3547412,34.43545949,6,2.02406E+13,21,,가계해수욕장,58911
경상남도 창원시 마산합포구 성호서7길 15-8,,36,0,A02,A0203,A02030100,2019720,12,2.01507E+13,http://tong.visitkorea.or.kr/cms/resource/55/2033255_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/55/2033255_image3_1.jpg,Type3,128.5696553,35.2077664,6,2.02304E+13,16,,가고파 꼬부랑길 벽화마을,51281
강원특별자치도 평창군 평창읍 평창시장2길 14,,32,,A05,A0502,A05020100,2788416,39,2.02112E+13,http://tong.visitkorea.or.kr/cms/resource/85/2788385_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/85/2788385_image2_1.jpg,Type3,128.3949125,37.36643132,6,2.02307E+13,15,,가고파부치기,25376
경상남도 창원시 마산합포구 해양관광로 962,,36,,A05,A0502,A05020100,2866408,39,2.0221E+13,http://tong.visitkorea.or.kr/cms/resource/02/2866402_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/02/2866402_image3_1.JPG,Type3,128.5483682,35.10524419,6,2.02402E+13,16,,가고파생삼겹구이,51781
경상남도 통영시 한산면 한산일주로 856,,36,,A05,A0502,A05020100,2572443,39,2.01812E+13,,,,128.506467,34.76713127,6,2.02311E+13,17,055-641-8388,가고파식당,53092
경상남도 산청군 시천면 지리산대로1478번길 31-10,,36,,A03,A0302,A03021700,2792802,28,2.02112E+13,http://tong.visitkorea.or.kr/cms/resource/33/2799833_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/33/2799833_image2_1.JPG,Type3,127.8177481,35.24003823,6,2.02302E+13,9,,가고파캠핑장,52238
